,Rating,preprocessed_text
32,5.0,review place would ambeince service staff lack lot place even though food good place like special hey papiya shuvro
33,5.0,nice experience food amazing friendly staff welcoming attitude papia friendly accommodating good ambiance definitely recommend place
34,5.0,dinner friend menu perfect something everyone service awesome papia accommodating good ambience amazing live music back definitely
35,5.0,service experience good especially papiya food served good tasty served well would like visit beyond recommend friend food reasonable price
36,5.0,service food ambiance nice staff humble taking order serving food live music like cherry cake
37,5.0,food ordered banjara tangdi starter best among papiya shuvro well mannered service best among
38,5.0,staff polite responsive food best part better ambience also awesome met two person named papiya shuvro best service food item liked basket biryani kodi drum stick finally loved
39,4.0,came parent ordered thai peneer tikka kaju pulao veg biryani kaju pulao veg biryani really good decent place go family shubro papiya served well
40,5.0,well new hyderabad fact say probably best place eaten buffet hyderabad period especially id like thank shurvo papiya amazing service double metha good overall worthwhile experience
41,5.0,wonderful place awesome ambience best visit night see pretty light enjoy savory food shubro papiya good service
42,4.0,good ambience great buffet waiter patient even got noodle replaced since one served buffet went bad shoutout shubro pradeep took care entire afternoon
43,4.0,review place come multiple visit spanned month safely say one good place around located near biodiversity signal fabindia ample parking two four wheeler ambience bit dim dark seating divided various option including pdr section menu design shape bottle array span continental chinese indian cuisine list thing tried across visit panko crumbed mozzarella stick cheese stick coated fried pure cheese bliss veg lasagna place one good lasagne town crispy chilli corn kernel usual favourite one slightly different presentation makhmali paneer tikka cottage cheese shashlik sizzler italian nacho nacho topped red sauce cheese baked dish cheese cheese pizza soft base pizza loaded cheese piece green olive stress enough loved tried also tried lunch buffet variety may elaborate place food quality discount offer bulk booking least try really adore mocktails beyond delight absolute delight also fan guava chilli apple kiwi night drink staff ever courteous special mention papiya shuvro attendant latest visit place zomato gold brings reasonable rate meal two would roughly around fill tummy also heart
44,5.0,lunch today beyond flavor food good delicious awesome service provided soumen da shuvro would highly recommend restaurant
45,3.0,reason giving star longlong time wait table went friday afternoon waited almost get table lost patience left another restaurant v get table even aftr waiting long think restaurant management take consideration try decrease waiting time customer
46,4.0,service really exceptional cheer manav served u really well food nice loved ambience nice music playing background
47,5.0,soumen da waited table thanks buddy great service visit soon soumen da waited table thanks buddy great service visit soon soumen da waited table thanks buddy great service visit soon soumen da waited table thanks buddy great service visit soon
48,5.0,papiya shuvro great helped u get table quickly suggested u best sizzlers menu ambience awesome suggested best table helpful till visit awesome service guy try well u plan take loved one n give osm experience place
49,5.0,quite good ambience liked special restro biryani must try like service papiya shuvro really good der like visit nice place visit specially nyt try biryani
50,5.0,pradeep shubroto amazing friendly service awesome n food visit people visit
51,5.0,visited place colleague farewell really great food service pradeep shobro come later
52,5.0,restaurant amazing ambience staff polite suggest good recommendation food visit beyond flavour sometime reach papiya shuvro suggest really good dish
53,5.0,excellent food service special mention papiya shuvro surprised see good quality food served low price ambience quite good highly recommended
54,5.0,papiya shuvro f b executive really courteous friendly thoroughly enjoyed experience good place cute lil date hehe nice family dinner
55,5.0,first time visited restaurant experience good term food hospitality service ambience thanks shubro papiya hospitality
56,3.0,went lunch buffet yesterday took chance seeing good average review zomato spread buffet le veg non veg starter main course veg non veg one fried rice chicken biryani dessert ice cream jamun taste ok expect much little disappointing starter hot fish fry decent schezwan chicken veg spring roll good big surprise onion ring starter kadai ghost main course good missing masala flavour chicken biryani average egg fried rice good money pay expect good food use much colour food item suggestion management use le coating le food colouring starter overall experience ok much better amount pay
57,4.0,place beyond beautiful ambience excellent food good service soumen da extremely good highly recommended place
58,5.0,beyond time tried lot dish never disappoints would specially recommend soup healthy broth soup roasted chicken soup amazing addition service great server papiya courteous prompt place become go place good dining experience
59,4.0,time waste taste u r welcome taste really superb service slow dish impressively different flavour liked
60,5.0,food good would add could increase courteous good serving ambience also good peaceful
61,5.0,pardeep shubrat served great food great ambience must try food awesome ambience good great place go team
62,5.0,one best restaurant hyderabad near gachibowli ambiance good lunch spread good tasty thank papiya guidance
63,5.0,really liked food different get every restaurant really appreciate service papiya loved presentation food
64,4.0,good food good time place ambience really good nice time thanks shubro assistance guidance food
65,5.0,best place hangout food really great thanks papiya service staff reallly ambience really great especially pdr private dining room awesome
66,1.0,went team lunch worst restaurant food tasteless service slow ac working requested multiple time use please waste money strictly recommend prefer beyond flavour
67,5.0,discovered place returning despicable day office walked ordered food thinking takeout food one could get outlet food turned saviour way designed place indeed remarkable light mixed setup would give retro feel good normal group people would want sit great conversation food
68,5.0,second time really beyond imagination beyond taste beyond flavour well courteous staff hospitile taste good best part presentation really meeting standard star restaurant impressed mr ahmed pradeep mr dipanajan friendly took care u well good job guy keep
69,5.0,ordered vegetable lasagne sizzler chicken tikka absolutely delicious ambience amazing service good
70,5.0,one best food experience hyderabad dessert yum appricot pudding must ahmed khan service unparalled keep good work
71,5.0,ahmed great help beyond flavour may suggest great food good experience stater sizzler good sauce use chicken dish awsome nan soft even take without butter easily eat great experience beyond flavor
72,5.0,dinner place attendant papiya staff friendly ambiance awesome good variety food beverage
73,3.0,happened go place last sunday mother day flat buffet meal mother really liked needle say ambience music really good reservation wait fir min get seat served u mango juice wrlcome drink tasted really buffet spread one kind strters veg paneer tikka veg spring roll veg lil cold taste wad good non veg chicken kebab chicken manchurian fish tasty though coupd taste better fair enuf singapore noodle egg salad pasta good cold main course mutton rogan josh chicken tikka masala palak paneer equally good biriyani egg frued rice chicken biriyani really great dessert moong dal halwa tasted really yumm ice cream gulab jamun cut fruit banana cake staff slow service food refilles wait quite long time actually eat stomach full could improve point stand better overall
74,4.0,good ambience absolutely delicious food got best company ananya beyond flavour place quite peaceful music fun loving staff great place friend
75,2.0,place dinner day back ambience good restaurant almost half occupied immediately got table waited min get water menu reminder ordered starter main course item mock drink starter could served min sign mock drink noticed similar service issue table noticed guest literally shouting staff food average dish prepared well least compared rating zomato finally decided starter hop onto another restaurant rest meal
76,3.0,place twice different experience time colleague loved food ambience service everything except price costly special baked biriyani work try unique tasty good experience revisited place sister order mocktail replace still good asked starter bone boneless told boneless later arrival told come disappointing know staff know menu
77,5.0,one best place hangout friend seemed like quiet common place group lunch etc food good ambience also nice loved
78,5.0,ambience good staff polite friendly food super good nice time lunch keep good work thank nice hospitality loved
79,1.0,would like introduce restaurant new ingredient called salt add yo food would taste way better basically none food ordered salt ordered fry panko mozzarella stick tomato cream soup italian nacho sure nacho italian basically bought pack dorittos added mozarella cheese top bean baked entire dish cold except plate brought pretty sure dumped item stashed inside microwave paneer horrendous might well called garlic salt next mozarella stick cold salt decent item got fry soup thanks gid didnt order main course came odd thanks zomato gold price went place way expensive quality food serve talking restaurant general place look decent stove stashed table seat plant kept inconvenient spot really need clean
80,1.0,hostile staff okeish food great ambiance sure rating zomato stand starter decent main course horrible suggest place
81,5.0,thanks ahmed food great recommend visit service excellent ambience good great time family
82,5.0,place flavor food service like beyond good beyond expectation really really quality worth personally highly recommend flavour food much prompt also enhance flavor restaurant
83,2.0,food quality taste good super slow service nice ambience poor customer handling lot item available even menu
84,1.0,worst experience restaurant ever first starter served half hour ordering chicken popcorn hair strand yuck guy took main course order forgot completely order waiting almost hour wait another half hour get food worst got u chicken lasagna instead veg lasagna figured chicken right one staunch vegetarian friend almost ate recommend place many better place gachibowli could save time provide better service
85,5.0,place really recommend restaurant food lover specifically continental food sizzlers yummy cant stop choose restaurant rather part really satisfied
86,5.0,much impressed quality food service specially mr ahmed thank politeness readiness food say beyond flavour loved place must visit great ambience
87,5.0,food indeed beyond falvours ahmed served u well hoping meet next time soon great ambience amazing song background added innumerous flavour delicious food
88,5.0,starter good service also good ahmed polite helped u selecting tuned great would like come back
89,1.0,bad experience beyond flavour really put beyond flavour gone dinner next day get hospitalised food infection guess food served fresh
90,4.0,lovely ambience roasted chicken soup highlight dinner basket biryani full flavour go whole quantity le though
91,2.0,liked food ambience problem staff responsive ordered one item got something else otherwise place food good
92,1.0,worst service experience food took get veg pulav never seen restaurant take time visit
93,1.0,waiter good enough get item ordered overall bad experience waiting time expected
94,4.0,awesome food good ambience centrally located ample parking coordination serving boy service scope improvement boy courteous though sure bar closed saturday evening overall good experience extremely value money visit
95,3.0,office lunch outing rating would mixed food fine service bad booked table day still wait min get one manager polite gave rubbish reason bad service ambiance fine
96,5.0,really enjoyed follows entrance music lighting seating arrangement decoration everything awsome food best service enhance flavour restaurant realy recommend restaurant
97,5.0,came first time restaurant entrance music lighting seating arrangement decoration everything awsome food best service enhance flavour restaurant
98,2.0,pathetic horrible experience ambience hospitality food chair table broken food cold tasteless buffet arrangement good could bit spacious
99,4.0,ahmed serving u polite cooperative staff amazing food ambience veg gilaffi kabab lasgna must try loved overall experience
100,5.0,paradise biryani really good service also good staff friendly ambiance nice chicken biryani mutton biryani good thank
101,5.0,chiken biryani good spcal chiken cary good testy food enjoy food next time visiting family friend
102,5.0,good hospitality good ambiance good food v good facility packing biriyani long distance good place visit mainly hyderabad biriyani
103,5.0,good food tasty better music food better quick response everything good good environment
104,5.0,goodtaste ever paradise make gladly prepare way u prefer nice serve everyone world best biryani
105,4.0,food quality good time food food taste good staff good perfect family lunch dinner enjoy
106,5.0,tasty food good service enjoyed lot paradise quick response provider fast delivery tasty food good place good economic people
107,5.0,ordered one chicken one mutton biryani good paradise definitly great restaurant biryani restaurant ambinence good along quick service
108,4.0,always best time favorite food biryani ka baap every time visit feel something special almost visited time simply best
109,5.0,good taste love visit family friend hopefully enjoyed taste biryani make happens every time
110,5.0,usual food always good world famous biryani love eat paradise biryani ever service n ambiance also good
111,4.0,ordered tandoori chicken starter tasty light butter naan mutton masala main course ordered chicken biryani egg mutton biryani tasty light mutton piecs cooked perfection
112,5.0,fri approach service especially shri krishan excellent service rendered dish tasty like visit recommend friend
113,5.0,order drumstick chicken biryani awesome taste good service rating good response service boy good serving good seating
114,5.0,food hospitality staff amazing service fast ambience place really good really recommened everyone try kadai chicken
115,5.0,service good food also good ambiance good chicken biriyani egg biriyani really good nice service good food overall good
116,5.0,ordered chicken biryani egg biriyani food awesome nice place great ambitious definitely come next time service good
117,5.0,friendly nice service chicken biryani delicious curry bowl design nice nice temp nice cooling nice tooth pic nice spot selfie nice restaurant setting
118,5.0,nice humble staff tasty biryani many people told try another place paradise truly paradise biryani lover
119,4.0,nice restaurant friendly courteous staff variety option choose curry raita really good good option veggie also try
120,5.0,food good staff humble great time people service good food nise ambiance biriyani hybd hybd india
121,4.0,haleem good egg biryani also tasty compared place service good happy next time visiting soon friend
122,5.0,haleem good chiken biryani good nice place paradise gachibowli happy next time visiting friend
123,1.0,ordered special chicken biryani received two ordinary biryani bone big time disappointment place known biryani feel like worst biryani costed buck receiving buck biryani worst experience
124,5.0,nice taste good maintenance nizam chicken biryani good pepper chicken tasty service fast good receiving please visit tasty food
125,5.0,parans good ege biryani good service good next time visit friend family lastly thank
126,5.0,nice place eat great food great service value money great ambience highly recommended price bit high definitely worth
127,4.0,good food good service good option vegetarian also dessert tasty ambience also neat place look hygienic
128,5.0,ege biriyani good service good nice place paradise gachibowli happy next time visit friend family
129,5.0,food especially haleem people hate mutton smell wanted taste haleem go try restaurant service ambience cool
130,5.0,chicken biriyani good service good nice place happy enjoy food next time visit family friend
131,5.0,chicken biriyani good nice place paradise gachibowli service good nice enjoy food next time visit soon friend
132,5.0,awesome biryani kebab apollo fish best one clean hygienic food courteous staff prompt service response keep good work
133,5.0,nice staff food good tasty ambience good service good staff polite customer overall food great woowwwwwww
134,4.0,nice place enjoy food servive good food delicious decent ambience good place enjoy nizamis food hyderabad
135,5.0,awesome service rajesh team tasty food brevage keep rocking guy become favourite place come back
136,5.0,really delicious though much spicy good grab go must try ur looking good non veg stuff also get experience good ambience
137,1.0,bad dine experience restaurant booked place office lunch instruction none met restaurant overall bad experience
138,5.0,always best food service chicken good chicken biryani good nice place soo enjoy food lastly thank
139,5.0,good service excellent food chicken biryani mutton biryani good ambience also nice good staff overall good food good service happy time
140,3.0,taste huge hype biryani hence tried find taste par really happy food taste ambience place well versed calming enough keep concentrated food ac working properly led uneasy food experience service alright much talk
141,5.0,mutton biryani good service good nice place paradise gachibowli next time visiting family friend
142,5.0,tanduri chiken good chiken biriyani good nice place paradise gachibowli happy enjoy food service good
143,5.0,paradise gachibowli amazing restaurant always received warm service amazing food saleem wonderful server provided good service really love place
144,5.0,mutton biryani nice awesome chicken tikka great favourite service nice polite nice time visit soon finally upto mint thats great
145,5.0,good time best service near place come food tasty good good good good food nice restaurant would like come thank much tasty food
146,5.0,taste biriyani well defined taste flavour price biriyani quite leaving service staff good secure
147,5.0,biryani taste good service also good ambience waiter response also good table well maintained clean waiting food
148,5.0,like way staff treat customer coolest thing seen food presentation also food tooo good especially supreme chicken biryani
149,4.0,biryani service everyone good place come family place visit
150,5.0,haleem good enjoying food nice place paradise gachibowli service good like next time visit
151,5.0,haleem mutton biryani dish amazingly well cooked service provided tremendous must visit restaurant
152,5.0,menu also good item nice good lime shoda good
153,5.0,food delicious service also good environment good pleasant picture wall veg item must specially tried
154,5.0,delighted expect fair good money awesome hangout always recommend place
155,5.0,good food service quality good ambiance hospitality amazing really enjoyed food judi busy bug birth nick
156,5.0,chiken biriyani good muttan biriyani good service good happy nice place paradise gachibowli next time visit
157,5.0,regular customer paradise first time zomato ratting given delicious chicken biriyani speed service staff also good thank paradise
158,5.0,excellent food year miss whenever visit hyderabad love paradise biryani much hyderabad excellent service
159,5.0,chicken biriyani good chicken pice soft place good service good happy nexr time visit friend
160,5.0,mutton biryani amazing always expecting increase quantity ambience good staff good quick response everything food served within time really appreciated
161,5.0,awesome food service degraded compared last year come next time sure expecting thing better thank
162,5.0,polite friendly visited place time food decent enough good place visit family dinner lunch
163,1.0,mumbaikars heard famous paradise restaurant hence decided try one great hope ambience place great however really impressed food service ordered chilli chicken paneer tikka chicken masala lowest rating possible chicken biryani garlic naan staff least bothered kept u waiting like min jus take order food disappointing much hyped restaurant would go recommend place anyone frequent dine experience
164,5.0,ordered mutton haleem awesome taste really exceptional comparing big name pista house shah ghouse definitely try found haleem
165,5.0,chicken biryani chillie chicken really tasty service good nice place paradise gachibowli happy next time visiting
166,5.0,friendly staff ambience good hygiene got know history paradise biryani must try anyone fall love
167,5.0,ambiance good food good tasted different flavour office team good time staff polite friendly
168,4.0,gud food fast service best people restaurant fast delivery asking rate restaurant nice restaurant good service many badtrips filed go
169,5.0,kebab tasty also service prompt staff courteous kunal catered need saw good time must visit place biryani lover
170,5.0,biriyani good provided good service ur restaurant nice looking goodbiriyani good provided good service ur restaurant nice looking goodbiriyani good provided good service ur restaurant nice looking good
171,5.0,taste food good variety well many work ambience restaurant service pretty fast overall fan biryani visit many time
172,5.0,good service food chicken lollipop delicious chicken biryani large portion left hungry please visit
173,5.0,service amazing biryani place paradise birayani taste great place cozy great hang friend would love visit
174,5.0,good service firstly importantly delicious biryani love visit good food food service visit chicken biriyani biriyani
175,5.0,suprim muttan biryani good service good nice place nice paradise next time visiting family friend
176,4.0,delicious haleem ian happy feeling service also good haleem price also good haleem quantity good staff also good
177,5.0,food simple tasty also like ambience quality dish service restaurant overall good soothing one mood
178,4.0,staff really good food delicious egg biryani good place clean neat ambience place visit gachibowli
179,5.0,chicken biryani awesome service good toofan thankyou assistance place location easy locate thankyou service would love recommend friend family well
180,4.0,relaxing staff outstanding restaurant exceptional along host server must visit place
181,5.0,good food good service biryani excellent chicken curry good bread make alright good place hangout
182,5.0,good food service quality nice ambience hospitality amazing chicken biriyani amazing ni redo mission justin muffin butch cassidy
183,5.0,briyani good crispy briyani good crispy briyani good crispy briyani good crispy service also good
184,5.0,good food nice good need fast food tasteful satisfied every thing paradise restuarant
185,5.0,good food egg friend rice nice also chicken tikka masala awesome service great enjoyed food people nice
186,5.0,nice food always briyani great nice visit specially chicken tandoori thank kunal serving helping serving
187,4.0,taste good service good restaurant helpful employee sweetdish nice also many varities menu card restaurant
188,4.0,first visit gachibowli paradise happy biriyani delicious service also good staff also friend ly
189,5.0,nice place humble staff quick service hospitable ambience delicious food probably best biryani country starter le either
190,4.0,nice biryani taste good quantity le service good staff curious biryani sufficient two people value money
191,4.0,paradise one favourite restaurant eat briyani good service well food yummy tasty
192,5.0,chicken biryani excellent one best hyderabadi service perfect visit ambience good staff polite best place family outing
193,5.0,good service food good taste biryani super looking family happy thank u much come paradise gachibowli
194,5.0,good food ambience good servise staff good food servise good veg biriyani relly good come
195,5.0,chiken musallam really good dat keema also nice flavour loved time definently would like come family toofan served u really amazing guy lovely person nice meet
196,5.0,experienced best haleem murg musalam taste good service awesome respectable good ambiance recommend family friend
197,5.0,nyc restaurant come taste haleem even veg sooo good scope imporvement good management staff also good
198,5.0,tasty good health haleem atmosphere also good loved place better try place
199,5.0,tasty specially biryani satisfied service good suggest come try great time good sense humour staff
200,2.0,people visited place thursday night ambience service good worth money pay
201,4.0,one best buffet place team lunch gachibowli area colourful place hospitable go muahhhh ambience quite good optimum free space place seems set team lunch menu present splendid many item wo able taste every item even remember name starter mouth watering write may veg non veg begin start chaat counter conveyor belt plate arranged section includes sushi golgappa aamras shot etc self served stop lazy go satiate mouth watering taste bud delicious starter served table one attraction pizza oven chef try making pizza choice yeah also get master chef certificate hoping may use resume main course also delicacy worth trying naming foodgasm hardly cared read name dessert ahhahahhhaa good number option pastry ice cream indian sweet gulaab jamun halwa pastry pan ice cream highly praised ice cream instantly prepared using liquid nitrogen treat watch also find hot jalebis etc etc etc drawback high incoming rush staff hurry ca much leisure time would suggest go give try team gang believe wo regret trying fabulous place section wise rating ambience staff food buffet item overall
202,5.0,starter tastiest good place choose ambience amazing especially loved sourav ismial served u pleasure
203,5.0,best restaurant great food satyajit team fabulous must visit place starter good need improve dessert especially icecream
204,5.0,would rated music played justin bieber song awesome service great food waiter refused take tip
205,5.0,great time great service polite professional starter good excellent main course overall wonderful experience satyajeet alok jayanth team excellent
206,5.0,awesome food mr sabir ambience really nice everything flechazo force visit place kudos fourth visit always improving
207,5.0,extremely good courteous fantastic nice ambience super starter awesome food overall recommends restaurant please try
208,5.0,place nice food awasome guy visiting flehazo restaurant lovely think place good place
209,5.0,birthday wonderful first experience jayant accompanied u best starter veg non veg made u comfortable wife wonderful lunch special day loved place foood awesome
210,5.0,service jayanta wonderful starter good start mango flavour prawn add classic mango taste wish pizza also good different pizza lover overall fantastic experience
211,5.0,ambience awesome love service staff variety starter dessert yumm pleasure evenin service jayanta flechazo gachibowli awesome
212,5.0,sabir excellent service panner verry good v kabab nice main course dal tasty coconut noodels mouth watering dessert gulab jamun yum
213,5.0,good food good service value money friendly staff sabir one staff member service great job splendid menu non veg n veg p
214,5.0,great time staff vry polite friendly especially jayant nice u overall food good highly recommend
215,5.0,given treat friend guy awesome place dine starter good great time jayant
216,2.0,hi time satisfied flechazo starter much hot room temparature little warm asked fish starter got two piece bbq wing good tooo hard mango chilli prawn much tasty maida coating smell flavour nothing happy flechazo gachibowli
217,5.0,wide spread buffet taste good courteous staff polite family dinner u lovely time especially kid love live counter
218,1.0,going place though ambiance good flechazo gachibowli deeply lack sense hygiene went family first thing caught attention extremely sticky floor chef live counter well display hygiene standard place find standing idle meddling ingredient scratching head using gloved hand handle everything around another unique practice noticed waiter serf starter constantly touching serving half eaten food plate find serving starter next table place chaotic open dried ingredient food kept counter main course buffet limited choice well thought ambience nothing positive could write place
219,5.0,starter good especially mutton starter many variety chicken item ambience good staff great jayanta service good food time thanks
220,5.0,flechazo brings together two culinary region mediterranean asian minimalistic ambiance maximised seating serf ideal place celebration office gathering food shot conveyor belt got amazing response customer dining gol gappas kachoris chaat option fun factor make diy concept table starter stuffed mushroom good option veg tempura well balanced spice content main course whale time picking option biryani rice curry leave space pasta though dessert section give whole new meaning term spoilt choice place indeed foodie delight
221,5.0,visited may lunch family awesome food comfortable seating soothing ambience booked table zomato received confirmation minute went early brunch welcome drink soup starter served table mango festival till end month dish mango super delicious apart buffet spread live counter pizza pasta chaats pani puri yummm sushi keema kulcha others one bite snack starter aplenty veg non veg server attentive helpful dessert mix indian sweet pasteries cheesecake fruit speciality liquid nitrogen fun watch though sure healthy surprised mother day cake complement restaurant wow gesture must visit place celebration whenever hungry variety lot food
222,5.0,mother day food amazing service jayanta ggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggd
223,3.0,went place lunch buffet seeing high rating zomato good thing first service excellent waiter literally take care food nothing great starter person love abundance starter served table ofcourse served way like sushi pani puri type main course normal nothing extra ordinary taste food normal dessert red velvet cake jalebi good service good server trained well ambience place jammed packed even tuesday lunch could enjoy much rush front every counter lunch
224,5.0,love dis place good term ambience food hospitality live pizza smokey ice cream best highlight dance step staff birthday celebration
225,5.0,good food nice experience haleem missing bit disappointment serf good jayanta ggggggggggggggggggghhhggggggggggggggggggggggggggg
226,5.0,excellent service ambience friendly staff thank ranjan sadddam raja wonderful service surely visit fun time
227,5.0,md sabir good service must try place nearby staff professional polite friendly make feel comfortable
228,3.0,heard restaurant friend choose place team lunch rating ambiance food service many item list taste good fooled word unlimited beverage single type beverage unlimited ca choose flavour totally felt disappointed taste customer service good
229,5.0,good place hang friend panipuri conveyer belt making pizza main highlight place
230,3.0,oh much hope place looking description turned imitator ab may concept change ok food fine expectation different
231,4.0,decent buffet ranging customised pizza amazing starter place crowdy even week day server chef taking personalised comment food delivered satisfying finger food conveyor belt cold pizza need flavour tom yum soup real disappointment get main course spread seemed interesting would love visit
232,5.0,place good starter mocktails shabir handy service pasta top notch prawn good desert love must try mini gulab jamun
233,5.0,one best place term hospitality food ambience everything superb stater ambience main course dessert best buffet live counter pizza smoky ice cream ur list definitely
234,4.0,star pro starter make pizza pasta hand biryani main course rareity day item desert jalebi specifically good behaviour con one avialiable every day one flavour unlucky u drink orange juice go tuesday even u dont like hard drink available overall nice experience go enjoy
235,5.0,absolutely loved place let begin comfortable place sitting comfortable arrangement handy served welcome drink starter also placed small conveyer belt corner consisted chat fish later actual starter served u place non vegetarian prawn kind chicken must try vegetarian chilly paneer crispy corn chilly fry make pizza well helped u gain space meal later mediterranean pasta better white one later hurried lunch sweet waiting food also good sweet gulabjamun badam kulfi jalebi rabdi good even try pan ice cream staff courteous friendly well overall enjoy happy long fun lunch dinner
236,5.0,loved food especially baby potato harissa sweet chilli barbeque prawn must try starter smoked paan ice wow mini pizza pasta also good sabir awesome service helping u pick best one good dining
237,5.0,nice place visit beautiful ambiance service jayanth hasihul kushal awesome finally taste wonderful happy
238,5.0,liked starter service jayanta kusul hasebul good ggggggghhhggggggggggggggggggggggggggggggggggggggggggggggggghhhhhhhhhhhhhhgggggggggggg
239,5.0,loved food variety get lot variety snack lip smacking bet best thing liked place people serving get experience personal touch every course meal take feedback like food change make improve also come celebrate special occasion provide cake also play music jayanta host super humble served nicely big yes place
240,5.0,service good jayanta hasebul kusul good gggggggggggggggggggggggggggggggggggggjhhghhhhghhgghhghhhgghhggghhhghhggghhgggggggffgghgg
241,4.0,one place provides good buffet price pay quality food great maintain variety item across course fish served part starter best eaten long time mutton kheema masala kulcha also deserves special mention service good staff courteous sadly despite giving clear instruction celebration planned end messed making arrangement cake agreed provide disappointing could avoided
242,5.0,soothing ambience admirable hospitality shabir buffet delicious every section perfect place family friend office colleague
243,5.0,good taste lot item excellent service jayanta hasubul kusul gggggggghhhhhhhhhgggggggggggggggggggggggggggggggggggggggggggggggggg
244,5.0,pleasant experience good food excellent service courteous staff jayanta kusal hasibul gggggggggggggggggggggggggggggggggggggggggg
245,5.0,good service hygenic food jayanta kushal hasebul ggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggygggyggyyyygggggggggghh
246,5.0,food quite awesome service provided jayanta kushal hasubul quite good ggggggggggggggggggggghghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
247,5.0,ambience awesome especially faijul service good friendly good place team outing overall good experience fun
248,2.0,seldom see restaurant rating friend come great expectation restaurant manage live even rating staff polite complains coming food sushi good chef aware give mayonnaise sushi wasabi starter okay repeat anything spite non vegetarian item liked crispy corn aglio olio used macaroni main course terrible array dish none good biriyani chicken couscous salad quinoa olive chocolate ice cream overdose milk forgettable experience however reiterate staff good politely told experience insisted providing something special
249,5.0,visited flechazo today family ambiance pleasant service provided ranjit ramjan excellent food nice several option starter especially liked fish starter much main course also good coming dessert love ice cream made spot provides several food option starter main dessert one best place try family
250,5.0,good food friendly staff mehrul sourab best best buffet town fish starter rabdi dessert tasted must
251,5.0,polite service done shabir starter korean tossed chicken oriental devilled prawn excellent veg flexhazo style crispy corn good
